Economy,Year,Rank,Overall DTF,Starting a business-Rank,Starting a business-DTF,Starting a Business - Procedure – Men (number),Starting a Business - Time – Men (days),Starting a Business - Cost – Men (% of income per capita),Starting a Business - Procedure – Women (number),Starting a Business - Time – Women (days),Starting a Business - Cost – Women (% of income per capita),Starting a Business - Paid-in min. capital (% of income per capita)
"Iran, Islamic Rep",DB2009, , , ,79.39,9.0,30.0,4.6,10.0,31.0,4.6,0.0
"Iran, Islamic Rep",DB2008, , , ,79.31,9.0,30.0,5.3,10.0,31.0,5.3,0.0
"Iran, Islamic Rep",DB2007, , , ,79.29,9.0,30.0,5.4,10.0,31.0,5.4,0.0
"Iran, Islamic Rep",DB2006, , , ,79.18,9.0,30.0,6.3,10.0,31.0,6.3,0.0
Iraq,DB2017,165,45.61,164,71.32,9.0,34.0,51.9,10.0,35.0,51.9,18.6
Iraq,DB2016,166,44.99,153,73.45,9.0,34.0,37.4,10.0,35.0,37.4,13.4
Iraq,DB2015, ,45.09, ,73.95,10.0,27.0,35.9,11.0,28.0,35.9,12.8
Iraq,DB2014, ,49.49, ,73.84,10.0,27.0,36.7,11.0,28.0,36.7,13.1
Iraq,DB2013, ,48.90, ,68.86,10.0,27.0,70.5,11.0,28.0,70.5,25.2
Iraq,DB2012, ,47.76, ,62.02,11.0,30.0,102.3,12.0,31.0,102.3,35.5
Iraq,DB2011, ,47.55, ,62.74,11.0,30.0,92.5,12.0,31.0,92.5,43.6
Iraq,DB2010, ,48.18, ,67.05,11.0,30.0,64.6,12.0,31.0,64.6,30.3
Iraq,DB2009, , , ,57.46,11.0,30.0,126.9,12.0,31.0,126.9,59.1
Iraq,DB2008, , , ,64.38,11.0,30.0,68.5,12.0,31.0,68.5,65.4
Iraq,DB2007, , , ,66.86,11.0,29.0,54.8,12.0,30.0,54.8,57.1
Iraq,DB2006, , , ,71.26,11.0,30.0,30.3,12.0,31.0,30.3,31.6
Ireland,DB2017,18,79.53,10,95.91,3.0,5.0,0.2,3.0,5.0,0.2,0.0
Ireland,DB2016,15,79.25,19,94.18,4.0,6.0,0.2,4.0,6.0,0.2,0.0
Ireland,DB2015, ,79.01, ,94.17,4.0,6.0,0.3,4.0,6.0,0.3,0.0
Ireland,DB2014, ,83.07, ,93.17,4.0,10.0,0.3,4.0,10.0,0.3,0.0
Ireland,DB2013, ,82.48, ,93.17,4.0,10.0,0.3,4.0,10.0,0.3,0.0
Ireland,DB2012, ,81.54, ,92.40,4.0,13.0,0.4,4.0,13.0,0.4,0.0
Ireland,DB2011, ,82.02, ,92.40,4.0,13.0,0.4,4.0,13.0,0.4,0.0
Ireland,DB2010, ,82.61, ,92.41,4.0,13.0,0.3,4.0,13.0,0.3,0.0
Ireland,DB2009, , , ,92.41,4.0,13.0,0.3,4.0,13.0,0.3,0.0
Ireland,DB2008, , , ,92.41,4.0,13.0,0.3,4.0,13.0,0.3,0.0
Ireland,DB2007, , , ,92.41,4.0,13.0,0.3,4.0,13.0,0.3,0.0
Ireland,DB2006, , , ,90.53,4.0,18.0,5.3,4.0,18.0,5.3,0.0
Israel,DB2017,52,71.65,41,92.28,4.0,12.0,3.3,4.0,12.0,3.3,0.0
Israel,DB2016,49,71.44,50,90.55,5.0,13.0,3.4,5.0,13.0,3.4,0.0
Israel,DB2015, ,71.64, ,90.54,5.0,13.0,3.5,5.0,13.0,3.5,0.0
Israel,DB2014, ,73.21, ,90.47,5.0,13.0,4.1,5.0,13.0,4.1,0.0
Israel,DB2013, ,72.69, ,88.71,5.0,20.0,4.0,5.0,20.0,4.0,0.0
Israel,DB2012, ,71.62, ,88.92,5.0,19.0,4.4,5.0,19.0,4.4,0.0
Israel,DB2011, ,71.65, ,88.94,5.0,19.0,4.3,5.0,19.0,4.3,0.0
Israel,DB2010, ,71.13, ,88.95,5.0,19.0,4.2,5.0,19.0,4.2,0.0
Israel,DB2009, , , ,88.92,5.0,19.0,4.4,5.0,19.0,4.4,0.0
Israel,DB2008, , , ,88.92,5.0,19.0,4.4,5.0,19.0,4.4,0.0
Israel,DB2007, , , ,88.84,5.0,19.0,5.1,5.0,19.0,5.1,0.0
Israel,DB2006, , , ,88.81,5.0,19.0,5.3,5.0,19.0,5.3,0.0
Italy,DB2017,50,72.25,63,89.40,6.0,6.5,13.9,6.0,6.5,13.9,0.0
Italy,DB2016,44,71.97,57,89.39,6.0,6.5,14.0,6.0,6.5,14.0,0.0
Italy,DB2015, ,71.96, ,89.22,6.0,7.0,14.4,6.0,7.0,14.4,0.0
Italy,DB2014, ,68.18, ,86.88,7.0,8.0,14.4,7.0,8.0,14.4,9.8
Italy,DB2013, ,67.39, ,86.60,7.0,8.0,16.7,7.0,8.0,16.7,9.7
Italy,DB2012, ,66.83, ,86.62,7.0,7.0,18.4,7.0,7.0,18.4,9.9
Italy,DB2011, ,66.50, ,86.57,7.0,7.0,18.7,7.0,7.0,18.7,10.1
Italy,DB2010, ,66.12, ,85.68,7.0,11.0,18.0,7.0,11.0,18.0,9.7
Italy,DB2009, , , ,87.35,6.0,10.0,18.5,6.0,10.0,18.5,9.7
Italy,DB2008, , , ,82.14,9.0,13.0,18.7,9.0,13.0,18.7,9.8
Italy,DB2007, , , ,81.95,9.0,13.0,20.0,9.0,13.0,20.0,10.4
Italy,DB2006, , , ,81.84,9.0,13.0,20.7,9.0,13.0,20.7,10.8
Jamaica,DB2017,67,67.54,12,95.61,2.0,10.0,4.3,2.0,10.0,4.3,0.0
Jamaica,DB2016,65,66.73,6,97.28,2.0,3.0,5.0,2.0,3.0,5.0,0.0
Jamaica,DB2015, ,65.84, ,94.27,2.0,15.0,4.9,2.0,15.0,4.9,0.0
Jamaica,DB2014, ,64.58, ,91.93,5.0,6.0,6.4,5.0,6.0,6.4,0.0
Jamaica,DB2013, ,64.54, ,90.17,6.0,7.0,6.7,6.0,7.0,6.7,0.0
Jamaica,DB2012, ,62.74, ,90.11,6.0,7.0,7.2,6.0,7.0,7.2,0.0
Jamaica,DB2011, ,62.56, ,90.12,6.0,8.0,5.2,6.0,8.0,5.2,0.0
Jamaica,DB2010, ,61.66, ,90.10,6.0,8.0,5.3,6.0,8.0,5.3,0.0
Jamaica,DB2009, , , ,89.77,6.0,8.0,7.9,6.0,8.0,7.9,0.0
Jamaica,DB2008, , , ,89.67,6.0,8.0,8.7,6.0,8.0,8.7,0.0
Jamaica,DB2007, , , ,89.59,6.0,8.0,9.4,6.0,8.0,9.4,0.0
Jamaica,DB2006, , , ,89.29,6.0,8.0,11.8,6.0,8.0,11.8,0.0
Japan,DB2017,34,75.53,89,86.09,8.0,11.2,7.5,8.0,11.2,7.5,0.0
Japan,DB2016,32,75.36,81,86.09,8.0,11.2,7.5,8.0,11.2,7.5,0.0
Japan,DB2015, ,75.19, ,86.09,8.0,11.2,7.5,8.0,11.2,7.5,0.0
Japan,DB2014, ,78.39, ,85.96,8.0,11.7,7.5,8.0,11.7,7.5,0.0
Japan,DB2013, ,74.92, ,55.82,5.2,7.8,4.9,5.2,7.8,4.9,0.0
Japan,DB2012, ,74.96, ,55.82,5.2,7.8,4.9,5.2,7.8,4.9,0.0
Japan,DB2011, ,74.38, ,54.02,5.2,15.0,4.9,5.2,15.0,4.9,0.0
Japan,DB2010, ,74.68, ,54.03,5.2,15.0,4.9,5.2,15.0,4.9,0.0
Japan,DB2009, , , ,54.03,5.2,15.0,4.9,5.2,15.0,4.9,0.0
Japan,DB2008, , , ,54.03,5.2,15.0,4.8,5.2,15.0,4.8,0.0
Japan,DB2007, , , ,54.02,5.2,15.0,4.9,5.2,15.0,4.9,0.0
Japan,DB2006, , , ,46.53,7.2,20.2,6.9,7.2,20.2,6.9,49.0
Japan - Osaka,DB2017, ,75.44,93,86.26,8.0,10.5,7.5,8.0,10.5,7.5,0.0
Japan - Osaka,DB2016, ,75.27, ,86.25,8.0,10.5,7.5,8.0,10.5,7.5,0.0
Japan - Osaka,DB2015, ,75.06, ,86.25,8.0,10.5,7.5,8.0,10.5,7.5,0.0
Japan - Osaka,DB2014, ,77.13, ,86.13,8.0,11.0,7.5,8.0,11.0,7.5,0.0
Japan - Tokyo,DB2017, ,75.58,98,86.00,8.0,11.5,7.5,8.0,11.5,7.5,0.0
Japan - Tokyo,DB2016, ,75.41, ,86.00,8.0,11.5,7.5,8.0,11.5,7.5,0.0
Japan - Tokyo,DB2015, ,75.26, ,86.00,8.0,11.5,7.5,8.0,11.5,7.5,0.0
Japan - Tokyo,DB2014, ,79.07, ,85.87,8.0,12.0,7.5,8.0,12.0,7.5,0.0
Japan - Tokyo,DB2013, ,78.81, ,85.87,8.0,12.0,7.5,8.0,12.0,7.5,0.0
Japan - Tokyo,DB2012, ,78.88, ,85.88,8.0,12.0,7.5,8.0,12.0,7.5,0.0
Japan - Tokyo,DB2011, ,77.98, ,83.11,8.0,23.0,7.5,8.0,23.0,7.5,0.0
Japan - Tokyo,DB2010, ,78.39, ,83.12,8.0,23.0,7.5,8.0,23.0,7.5,0.0
Japan - Tokyo,DB2009, , , ,83.12,8.0,23.0,7.5,8.0,23.0,7.5,0.0
Japan - Tokyo,DB2008, , , ,83.12,8.0,23.0,7.5,8.0,23.0,7.5,0.0
Japan - Tokyo,DB2007, , , ,83.11,8.0,23.0,7.5,8.0,23.0,7.5,0.0
Japan - Tokyo,DB2006, , , ,71.59,11.0,31.0,10.7,11.0,31.0,10.7,75.3
Jordan,DB2017,118,57.30,106,84.62,7.0,12.0,22.4,8.0,13.0,22.4,0.1
Jordan,DB2016,119,57.02,98,84.84,7.0,12.0,20.7,8.0,13.0,20.7,0.1
Jordan,DB2015, ,57.96, ,84.75,7.0,12.0,21.4,8.0,13.0,21.4,0.1
Jordan,DB2014, ,57.88, ,84.64,7.0,12.0,22.3,8.0,13.0,22.3,0.1
Jordan,DB2013, ,58.07, ,84.49,7.0,12.0,23.4,8.0,13.0,23.4,0.1
Jordan,DB2012, ,58.02, ,84.47,7.0,12.0,23.6,8.0,13.0,23.6,0.1
Jordan,DB2011, ,57.17, ,82.85,7.0,12.0,27.6,8.0,13.0,27.6,17.9
Jordan,DB2010, ,56.75, ,82.35,7.0,12.0,30.6,8.0,13.0,30.6,19.9
Jordan,DB2009, , , ,79.70,8.0,13.0,35.9,9.0,14.0,35.9,24.2
Jordan,DB2008, , , ,57.73,8.0,13.0,23.8,9.0,14.0,23.8,795.4
Jordan,DB2007, , , ,47.88,10.0,16.0,73.0,11.0,17.0,73.0,864.4
Jordan,DB2006, , , ,46.33,10.0,16.0,85.5,11.0,17.0,85.5,1011.6
Kazakhstan,DB2017,35,75.09,45,91.94,5.0,9.0,0.3,5.0,9.0,0.3,0.0
Kazakhstan,DB2016,51,70.45,54,89.95,6.0,11.0,0.5,6.0,11.0,0.5,0.0
Kazakhstan,DB2015, ,68.88, ,87.22,7.0,16.0,0.5,7.0,16.0,0.5,0.0
Kazakhstan,DB2014, ,63.37, ,86.70,7.0,18.0,0.6,7.0,18.0,0.6,0.0
Kazakhstan,DB2013, ,62.69, ,84.94,7.0,25.0,0.7,7.0,25.0,0.7,0.0
Kazakhstan,DB2012, ,62.66, ,84.92,7.0,25.0,0.8,7.0,25.0,0.8,0.0
Kazakhstan,DB2011, ,59.74, ,84.90,7.0,25.0,1.0,7.0,25.0,1.0,0.0
Kazakhstan,DB2010, ,56.81, ,81.86,8.0,26.0,4.8,8.0,26.0,4.8,13.4
Kazakhstan,DB2009, , , ,79.93,9.0,27.0,5.2,9.0,27.0,5.2,15.9
Kazakhstan,DB2008, , , ,79.20,9.0,27.0,7.6,9.0,27.0,7.6,22.9
Kazakhstan,DB2007, , , ,79.26,9.0,27.0,7.0,9.0,27.0,7.0,23.1
Kazakhstan,DB2006, , , ,77.58,9.0,31.0,9.9,9.0,31.0,9.9,28.1
Kenya,DB2017,92,61.22,116,83.13,7.0,22.0,21.1,7.0,22.0,21.1,0.0
Kenya,DB2016,113,57.50,150,74.45,11.0,26.0,35.5,11.0,26.0,35.5,0.0
Kenya,DB2015, ,54.17, ,72.52,11.0,30.0,42.9,11.0,30.0,42.9,0.0
Kenya,DB2014, ,57.40, ,72.61,11.0,32.0,38.2,11.0,32.0,38.2,0.0
Kenya,DB2013, ,57.32, ,72.31,11.0,32.0,40.6,11.0,32.0,40.6,0.0
Kenya,DB2012, ,57.08, ,70.01,12.0,33.0,45.2,12.0,33.0,45.2,0.0
Kenya,DB2011, ,56.93, ,70.31,12.0,31.0,46.8,12.0,31.0,46.8,0.0
Kenya,DB2010, ,57.46, ,69.11,13.0,31.0,44.6,13.0,31.0,44.6,0.0
Kenya,DB2009, , , ,69.71,13.0,31.0,39.8,13.0,31.0,39.8,0.0
Kenya,DB2008, , , ,65.65,13.0,44.0,46.2,13.0,44.0,46.2,0.0
Kenya,DB2007, , , ,61.66,14.0,54.0,46.3,14.0,54.0,46.3,0.0
Kenya,DB2006, , , ,61.41,14.0,54.0,48.3,14.0,54.0,48.3,0.0
Kiribati,DB2017,152,49.19,140,78.17,7.0,31.0,36.3,7.0,31.0,36.3,13.0
Kiribati,DB2016,151,48.51,141,76.46,7.0,31.0,46.0,7.0,31.0,46.0,20.8
Kiribati,DB2015, ,50.60, ,76.75,7.0,31.0,44.4,7.0,31.0,44.4,19.5
Kiribati,DB2014, ,58.51, ,76.28,7.0,31.0,47.1,7.0,31.0,47.1,21.7
Kiribati,DB2013, ,58.61, ,76.36,7.0,31.0,46.6,7.0,31.0,46.6,21.3
Kiribati,DB2012, ,58.63, ,76.40,7.0,31.0,46.4,7.0,31.0,46.4,21.1
Kiribati,DB2011, ,58.58, ,76.26,7.0,31.0,47.1,7.0,31.0,47.1,21.7
Kiribati,DB2010, ,58.72, ,76.52,7.0,31.0,45.7,7.0,31.0,45.7,20.5
Kiribati,DB2009, , , ,73.38,7.0,31.0,63.6,7.0,31.0,63.6,34.9
Kiribati,DB2008, , , ,74.32,7.0,31.0,58.3,7.0,31.0,58.3,30.6
Kiribati,DB2007, , , ,75.10,7.0,31.0,53.8,7.0,31.0,53.8,27.0
Kiribati,DB2006, , , ,76.08,7.0,31.0,40.3,7.0,31.0,40.3,38.4
"Korea, Rep",DB2017,5,84.07,11,95.83,2.0,4.0,14.6,2.0,4.0,14.6,0.0
"Korea, Rep",DB2016,4,83.86,17,94.36,3.0,4.0,14.5,3.0,4.0,14.5,0.0
"Korea, Rep",DB2015, ,83.69, ,94.36,3.0,4.0,14.5,3.0,4.0,14.5,0.0
"Korea, Rep",DB2014, ,83.92, ,94.36,3.0,4.0,14.6,3.0,4.0,14.6,0.0
"Korea, Rep",DB2013, ,83.74, ,94.36,3.0,4.0,14.6,3.0,4.0,14.6,0.0
"Korea, Rep",DB2012, ,82.69, ,90.66,5.0,7.0,14.6,5.0,7.0,14.6,0.0
"Korea, Rep",DB2011, ,81.77, ,84.48,8.0,14.0,14.7,8.0,14.0,14.7,0.0
"Korea, Rep",DB2010, ,81.53, ,84.47,8.0,14.0,14.7,8.0,14.0,14.7,0.0
"Korea, Rep",DB2009, , , ,63.70,10.0,17.0,16.9,10.0,17.0,16.9,268.9
"Korea, Rep",DB2008, , , ,61.99,10.0,17.0,17.1,10.0,17.0,17.1,296.0
"Korea, Rep",DB2007, , , ,61.61,10.0,17.0,18.2,10.0,17.0,18.2,299.7
"Korea, Rep",DB2006, , , ,61.36,10.0,17.0,15.7,10.0,17.0,15.7,308.8
Kosovo,DB2017,60,68.79,13,95.54,3.0,6.0,1.1,3.0,6.0,1.1,0.0
Kosovo,DB2016,64,67.15,27,93.06,4.0,10.0,1.1,4.0,10.0,1.1,0.0
Kosovo,DB2015, ,67.20, ,93.05,4.0,10.0,1.2,4.0,10.0,1.2,0.0
Kosovo,DB2014, ,65.45, ,84.19,5.0,29.0,22.1,5.0,29.0,22.1,0.0
Kosovo,DB2013, ,62.09, ,74.15,8.0,51.0,23.0,8.0,51.0,23.0,0.0
Kosovo,DB2012, ,56.43, ,62.44,10.0,58.0,26.7,10.0,58.0,26.7,104.6
Kosovo,DB2011, ,56.34, ,61.70,10.0,58.0,28.7,10.0,58.0,28.7,112.4
Kosovo,DB2010, ,56.56, ,65.53,9.0,52.0,26.4,9.0,52.0,26.4,103.4
Kuwait,DB2017,102,59.55,173,66.77,12.0,61.0,2.8,13.0,62.0,2.8,10.2
Kuwait,DB2016,98,60.12,149,74.51,12.0,31.0,2.3,13.0,32.0,2.3,8.2
Kuwait,DB2015, ,59.59, ,70.42,12.0,31.0,2.0,13.0,32.0,2.0,74.0
Kuwait,DB2014, ,61.59, ,70.02,12.0,32.0,1.2,13.0,33.0,1.2,77.9
Kuwait,DB2013, ,61.30, ,71.38,12.0,32.0,1.1,13.0,33.0,1.1,56.7
Kuwait,DB2012, ,61.43, ,70.42,12.0,32.0,1.2,13.0,33.0,1.2,71.8
Kuwait,DB2011, ,60.37, ,67.49,13.0,35.0,1.3,14.0,36.0,1.3,82.7
Kuwait,DB2010, ,60.43, ,69.00,13.0,35.0,1.0,14.0,36.0,1.0,59.2
Kuwait,DB2009, , , ,67.55,13.0,35.0,1.3,14.0,36.0,1.3,81.7
Kuwait,DB2008, , , ,66.38,13.0,35.0,1.6,14.0,36.0,1.6,99.9
Kuwait,DB2007, , , ,66.32,13.0,35.0,1.6,14.0,36.0,1.6,100.8
Kuwait,DB2006, , , ,64.19,13.0,35.0,2.2,14.0,36.0,2.2,133.8
Kyrgyz Republic,DB2017,75,65.17,30,92.95,4.0,10.0,2.0,4.0,10.0,2.0,0.0
Kyrgyz Republic,DB2016,73,65.09,28,92.94,4.0,10.0,2.1,4.0,10.0,2.1,0.0
Kyrgyz Republic,DB2015, ,65.13, ,92.91,4.0,10.0,2.3,4.0,10.0,2.3,0.0
Kyrgyz Republic,DB2014, ,64.92, ,92.87,4.0,10.0,2.7,4.0,10.0,2.7,0.0
Kyrgyz Republic,DB2013, ,63.32, ,91.84,4.0,14.0,2.8,4.0,14.0,2.8,0.0
Kyrgyz Republic,DB2012, ,61.45, ,91.76,4.0,14.0,3.5,4.0,14.0,3.5,0.0
Kyrgyz Republic,DB2011, ,62.87, ,91.73,4.0,14.0,3.7,4.0,14.0,3.7,0.0
Kyrgyz Republic,DB2010, ,60.89, ,89.82,5.0,15.0,5.2,5.0,15.0,5.2,0.0
Kyrgyz Republic,DB2009, , , ,87.05,6.0,19.0,7.4,6.0,19.0,7.4,0.4
Kyrgyz Republic,DB2008, , , ,81.85,9.0,21.0,9.7,9.0,21.0,9.7,0.5
Kyrgyz Republic,DB2007, , , ,81.71,9.0,21.0,10.7,9.0,21.0,10.7,0.5
Kyrgyz Republic,DB2006, , , ,81.75,9.0,21.0,10.4,9.0,21.0,10.4,0.6
Lao PDR,DB2017,139,53.29,160,72.42,8.0,67.0,4.6,8.0,67.0,4.6,0.0
Lao PDR,DB2016,136,52.44,168,67.36,8.0,87.0,4.9,8.0,87.0,4.9,0.0
Lao PDR,DB2015, ,50.79, ,67.31,8.0,87.0,5.3,8.0,87.0,5.3,0.0
Lao PDR,DB2014, ,50.27, ,67.20,8.0,87.0,6.2,8.0,87.0,6.2,0.0
Lao PDR,DB2013, ,49.65, ,67.15,8.0,87.0,6.6,8.0,87.0,6.6,0.0
Lao PDR,DB2012, ,49.29, ,68.13,9.0,77.0,7.1,9.0,77.0,7.1,0.0
Lao PDR,DB2011, ,48.36, ,64.42,10.0,85.0,8.9,10.0,85.0,8.9,0.0
Lao PDR,DB2010, ,46.44, ,64.33,10.0,85.0,9.7,10.0,85.0,9.7,0.0
Lao PDR,DB2009, , , ,64.08,10.0,85.0,11.6,10.0,85.0,11.6,0.0
Lao PDR,DB2008, , , ,63.70,10.0,85.0,14.7,10.0,85.0,14.7,0.0
Lao PDR,DB2007, , , ,59.79,10.0,115.0,15.8,10.0,115.0,15.8,0.0
Lao PDR,DB2006, , , ,59.60,9.0,131.0,17.4,9.0,131.0,17.4,23.4
Latvia,DB2017,14,80.61,22,94.15,4.0,5.5,1.5,4.0,5.5,1.5,0.0
Latvia,DB2016,17,79.14,20,94.15,4.0,5.5,1.5,4.0,5.5,1.5,0.0
Latvia,DB2015, ,78.29, ,92.12,4.0,12.5,3.6,4.0,12.5,3.6,0.0
Latvia,DB2014, ,78.24, ,92.33,4.0,12.5,1.9,4.0,12.5,1.9,0.0
Latvia,DB2013, ,77.08, ,91.53,4.0,15.5,2.3,4.0,15.5,2.3,0.0
Latvia,DB2012, ,76.93, ,91.50,4.0,15.5,2.6,4.0,15.5,2.6,0.0
Latvia,DB2011, ,73.88, ,89.16,5.0,15.5,1.5,5.0,15.5,1.5,15.9
Latvia,DB2010, ,73.35, ,89.20,5.0,15.5,2.1,5.0,15.5,2.1,14.2
Latvia,DB2009, , , ,89.00,5.0,15.5,2.3,5.0,15.5,2.3,16.9
Latvia,DB2008, , , ,88.47,5.0,16.0,3.0,5.0,16.0,3.0,22.0
Latvia,DB2007, , , ,88.15,5.0,16.0,3.5,5.0,16.0,3.5,26.1
Latvia,DB2006, , , ,87.71,5.0,16.0,4.2,5.0,16.0,4.2,31.8
Lebanon,DB2017,126,55.90,139,78.45,8.0,15.0,40.6,8.0,15.0,40.6,40.7
Lebanon,DB2016,122,56.08,124,79.72,8.0,15.0,34.2,8.0,15.0,34.2,33.2
Lebanon,DB2015, ,56.65, ,79.80,8.0,15.0,33.6,8.0,15.0,33.6,33.0
Lebanon,DB2014, ,62.22, ,79.51,8.0,15.0,35.1,8.0,15.0,35.1,34.7
Lebanon,DB2013, ,62.47, ,79.43,8.0,15.0,35.5,8.0,15.0,35.5,35.2
Lebanon,DB2012, ,62.03, ,75.45,8.0,15.0,67.3,8.0,15.0,67.3,35.3
Lebanon,DB2011, ,61.63, ,74.17,8.0,15.0,75.3,8.0,15.0,75.3,39.8
Lebanon,DB2010, ,61.31, ,73.07,8.0,15.0,78.5,8.0,15.0,78.5,51.0
Lebanon,DB2009, , , ,70.78,8.0,18.0,87.8,8.0,18.0,87.8,57.0
Lebanon,DB2008, , , ,59.46,9.0,53.0,94.5,9.0,53.0,94.5,60.4
Lebanon,DB2007, , , ,60.12,9.0,53.0,91.2,9.0,53.0,91.2,56.5
Lebanon,DB2006, , , ,57.17,9.0,53.0,108.7,9.0,53.0,108.7,68.5
Lesotho,DB2017,100,60.37,117,83.00,7.0,29.0,8.1,7.0,29.0,8.1,0.0
Lesotho,DB2016,112,57.56,110,82.85,7.0,29.0,9.3,7.0,29.0,9.3,0.0
Lesotho,DB2015, ,57.31, ,82.84,7.0,29.0,9.4,7.0,29.0,9.4,0.0
Lesotho,DB2014, ,56.55, ,82.59,7.0,29.0,11.4,7.0,29.0,11.4,0.0
Lesotho,DB2013, ,54.42, ,82.39,7.0,29.0,13.0,7.0,29.0,13.0,0.0
Lesotho,DB2012, ,51.74, ,77.69,7.0,39.0,24.9,7.0,39.0,24.9,11.2
Lesotho,DB2011, ,51.51, ,77.50,7.0,39.0,26.0,7.0,39.0,26.0,12.0
Lesotho,DB2010, ,50.44, ,77.38,7.0,39.0,27.0,7.0,39.0,27.0,11.9
Lesotho,DB2009, , , ,75.86,7.0,39.0,37.9,7.0,39.0,37.9,14.5
Lesotho,DB2008, , , ,65.91,8.0,73.0,37.5,8.0,73.0,37.5,14.3
Lesotho,DB2007, , , ,65.51,8.0,73.0,40.0,8.0,73.0,40.0,15.7
Lesotho,DB2006, , , ,56.98,9.0,103.0,41.8,9.0,103.0,41.8,16.4
Liberia,DB2017,174,41.41,37,92.49,4.0,4.5,16.7,4.0,4.5,16.7,0.0
Liberia,DB2016,174,41.53,33,92.49,4.0,4.5,16.8,4.0,4.5,16.8,0.0
Liberia,DB2015, ,39.63, ,92.41,4.0,4.5,17.4,4.0,4.5,17.4,0.0
Liberia,DB2014, ,50.20, ,92.19,4.0,4.5,19.1,4.0,4.5,19.1,0.0
Liberia,DB2013, ,48.11, ,87.74,4.0,5.5,52.7,4.0,5.5,52.7,0.0
Liberia,DB2012, ,45.76, ,85.78,4.0,5.5,68.4,4.0,5.5,68.4,0.0
Liberia,DB2011, ,41.79, ,78.18,5.0,20.0,88.3,5.0,20.0,88.3,0.0
Liberia,DB2010, ,41.03, ,78.52,5.0,20.0,85.6,5.0,20.0,85.6,0.0
Liberia,DB2009, , , ,72.21,6.0,32.0,100.2,6.0,32.0,100.2,0.0
Liberia,DB2008, , , ,44.80,10.0,68.0,489.6,10.0,68.0,489.6,0.0
Liberia,DB2007, , , ,44.80,10.0,68.0,563.9,10.0,68.0,563.9,0.0
Libya,DB2017,188,33.19,163,71.48,10.0,35.0,31.2,10.0,35.0,31.2,43.4
Libya,DB2016,188,33.33,158,72.58,10.0,35.0,26.9,10.0,35.0,26.9,34.6
Libya,DB2015, ,32.84, ,74.34,10.0,35.0,19.9,10.0,35.0,19.9,20.3
Libya,DB2014, ,35.43, ,74.55,10.0,35.0,19.1,10.0,35.0,19.1,18.6
Libya,DB2013, ,34.92, ,71.36,10.0,35.0,31.7,10.0,35.0,31.7,44.5
Lithuania,DB2017,21,78.84,29,92.99,4.0,5.5,0.6,4.0,5.5,0.6,20.3
Lithuania,DB2016,21,78.60,28,92.94,4.0,5.5,0.6,4.0,5.5,0.6,21.2
Lithuania,DB2015, ,77.60, ,92.44,5.0,5.5,0.2,5.0,5.5,0.2,6.4
Lithuania,DB2014, ,75.88, ,90.10,6.0,8.5,0.9,6.0,8.5,0.9,6.8
Lithuania,DB2013, ,74.02, ,84.32,7.0,19.5,1.1,7.0,19.5,1.1,31.3
Lithuania,DB2012, ,74.00, ,84.67,6.0,22.0,2.8,6.0,22.0,2.8,35.7
Lithuania,DB2011, ,73.45, ,84.64,6.0,22.0,2.8,6.0,22.0,2.8,36.1
Lithuania,DB2010, ,73.42, ,82.52,7.0,26.0,2.4,7.0,26.0,2.4,31.1
Lithuania,DB2009, , , ,82.19,7.0,26.0,2.7,7.0,26.0,2.7,35.9
Lithuania,DB2008, , , ,81.50,7.0,26.0,3.0,7.0,26.0,3.0,46.2
Lithuania,DB2007, , , ,81.37,7.0,26.0,2.8,7.0,26.0,2.8,48.8
Lithuania,DB2006, , , ,79.30,8.0,26.0,3.3,8.0,26.0,3.3,57.3
Luxembourg,DB2017,59,68.81,67,88.66,5.0,16.5,1.7,5.0,16.5,1.7,19.5
Luxembourg,DB2016,57,68.79,67,88.43,5.0,16.5,2.0,5.0,16.5,2.0,22.6
Luxembourg,DB2015, ,68.77, ,88.44,5.0,16.5,2.0,5.0,16.5,2.0,22.5
Luxembourg,DB2014, ,67.01, ,88.57,5.0,16.5,1.9,5.0,16.5,1.9,20.8
Luxembourg,DB2013, ,66.96, ,88.56,5.0,16.5,1.9,5.0,16.5,1.9,20.9
Luxembourg,DB2012, ,66.92, ,88.54,5.0,16.5,1.9,5.0,16.5,1.9,21.2
Luxembourg,DB2011, ,65.98, ,88.34,5.0,16.5,2.1,5.0,16.5,2.1,23.8
Luxembourg,DB2010, ,65.67, ,87.25,5.0,22.0,1.8,5.0,22.0,1.8,19.9
Luxembourg,DB2009, , , ,86.08,5.0,24.0,6.5,5.0,24.0,6.5,21.3
Luxembourg,DB2008, , , ,85.57,5.0,24.0,10.8,5.0,24.0,10.8,20.6
Luxembourg,DB2007, , , ,84.30,5.0,28.0,11.9,5.0,28.0,11.9,22.7
"Macedonia, FYR",DB2017,10,81.74,4,98.14,2.0,2.0,0.1,2.0,2.0,0.1,0.0
"Macedonia, FYR",DB2016,16,79.19,3,98.14,2.0,2.0,0.1,2.0,2.0,0.1,0.0
"Macedonia, FYR",DB2015, ,78.95, ,96.36,3.0,3.0,0.6,3.0,3.0,0.6,0.0
"Macedonia, FYR",DB2014, ,74.03, ,96.22,3.0,3.0,1.7,3.0,3.0,1.7,0.0
